"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31202135714,3135714,305,"Capricornia",3,"Queensland",34.9724
31202135715,3135715,306,"Dawson",3,"Queensland",33.7811
31202135716,3135716,305,"Capricornia",3,"Queensland",0.6198
31202135717,3135717,305,"Capricornia",3,"Queensland",0.3689
31202135718,3135718,305,"Capricornia",3,"Queensland",0.5652
31202135719,3135719,305,"Capricornia",3,"Queensland",0.2964
31202135720,3135720,305,"Capricornia",3,"Queensland",0.654
31202135721,3135721,305,"Capricornia",3,"Queensland",6.595
31202135722,3135722,305,"Capricornia",3,"Queensland",0.2332
31202135723,3135723,305,"Capricornia",3,"Queensland",0.6696
31202135801,3135801,306,"Dawson",3,"Queensland",0.2083
31202135802,3135802,306,"Dawson",3,"Queensland",0.2073
31202135803,3135803,306,"Dawson",3,"Queensland",0.1199
31202135804,3135804,306,"Dawson",3,"Queensland",0.2122
31202135805,3135805,306,"Dawson",3,"Queensland",0.2443
31202135806,3135806,306,"Dawson",3,"Queensland",0.1675
31202135807,3135807,306,"Dawson",3,"Queensland",1.4043
31202135808,3135808,306,"Dawson",3,"Queensland",0.286
31202135809,3135809,306,"Dawson",3,"Queensland",0.3673
31202135810,3135810,306,"Dawson",3,"Queensland",0.2499
31202135811,3135811,306,"Dawson",3,"Queensland",0.2305
31202135812,3135812,306,"Dawson",3,"Queensland",1.0095
31202135813,3135813,306,"Dawson",3,"Queensland",0.1361
31202135814,3135814,306,"Dawson",3,"Queensland",0.1493
31202135815,3135815,306,"Dawson",3,"Queensland",0.1238
31202135816,3135816,306,"Dawson",3,"Queensland",0.2142
31202135817,3135817,306,"Dawson",3,"Queensland",0.4605
31203135901,3135901,306,"Dawson",3,"Queensland",0.679
31203135902,3135902,306,"Dawson",3,"Queensland",206.1625
31203135903,3135903,306,"Dawson",3,"Queensland",1.752
31203135904,3135904,306,"Dawson",3,"Queensland",2.5308
31203135905,3135905,306,"Dawson",3,"Queensland",7.0161
31203135906,3135906,306,"Dawson",3,"Queensland",3.5287
31203135907,3135907,306,"Dawson",3,"Queensland",16.8521
31203135908,3135908,306,"Dawson",3,"Queensland",0.9325
31203135909,3135909,306,"Dawson",3,"Queensland",0.6971
31203135910,3135910,306,"Dawson",3,"Queensland",0.1685
31203135911,3135911,306,"Dawson",3,"Queensland",0.9436
31203135912,3135912,306,"Dawson",3,"Queensland",1.9794
31203135913,3135913,306,"Dawson",3,"Queensland",0.2028
31203135914,3135914,306,"Dawson",3,"Queensland",0.4063
31203135915,3135915,306,"Dawson",3,"Queensland",0.427
31203135916,3135916,306,"Dawson",3,"Queensland",2.8532
31203135917,3135917,306,"Dawson",3,"Queensland",14.6637
31203135918,3135918,306,"Dawson",3,"Queensland",0.5516
31203135919,3135919,306,"Dawson",3,"Queensland",0.4375
31203135920,3135920,306,"Dawson",3,"Queensland",0.5129
31203135921,3135921,306,"Dawson",3,"Queensland",0.8733
31203135922,3135922,306,"Dawson",3,"Queensland",0.2132
31203135923,3135923,306,"Dawson",3,"Queensland",0.1571
31203135924,3135924,306,"Dawson",3,"Queensland",0.3622
31203135925,3135925,306,"Dawson",3,"Queensland",0.1793
31203135926,3135926,306,"Dawson",3,"Queensland",0.6391
31203135927,3135927,306,"Dawson",3,"Queensland",35.7472
31203135928,3135928,306,"Dawson",3,"Queensland",2.1584
31203135929,3135929,306,"Dawson",3,"Queensland",0.384
31203136001,3136001,306,"Dawson",3,"Queensland",295.3659
